
Loading audio files:   0%|          | 0/1079 [00:00<?, ?it/s]
Initializing the music classifier...



Loading audio files:  82%|████████▏ | 884/1079 [00:32<00:00, 207.26it/s]
Loading audio files: 100%|██████████| 1079/1079 [00:33<00:00, 32.59it/s]











Extracting features:  97%|█████████▋| 1046/1079 [00:25<00:00, 50.18it/s]
Extracting features: 100%|██████████| 1079/1079 [00:25<00:00, 41.98it/s]
Loading audio files:   0%|          | 0/119 [00:00<?, ?it/s]
Loading audio files: 100%|██████████| 119/119 [00:26<00:00,  4.41it/s]
Extracting features:  18%|█▊        | 22/119 [00:00<00:02, 42.66it/s]

Extracting features:  82%|████████▏ | 98/119 [00:02<00:00, 54.75it/s]
Creating data loaders...
Starting epoch number 0
Epoch 3, Batch 23,	Train Loss: 0.34448901344748106

Extracting features: 100%|██████████| 119/119 [00:02<00:00, 45.97it/s]
Epoch 3, Batch 25,	Train Loss: 0.3446689774008358
Epoch 3, Batch 26,	Train Loss: 0.3445390532998478
Epoch 3, Batch 27,	Train Loss: 0.34457846248851104
Epoch 3, Batch 28,	Train Loss: 0.3445817442501293
Epoch 3, Batch 29,	Train Loss: 0.3445459253647748
Epoch 3, Batch 30,	Train Loss: 0.34453997892491955
Epoch 3, Batch 31,	Train Loss: 0.344603370217716
Epoch 3, Batch 32,	Train Loss: 0.3446499600129969
Epoch 3, Batch 33,	Train Loss: 0.3445718148175408
Epoch 3, Batch 34,	Train Loss: 0.24771463169771082
Epoch 3 Train Loss: 11.619687725515927
Epoch 3 Test Accuracy: 0.3445378151260504
Starting epoch number 3
Epoch 4, Batch 1,	Train Loss: 0.344632345087388
Epoch 4, Batch 2,	Train Loss: 0.34455543405869427
Epoch 4, Batch 3,	Train Loss: 0.3445152955896714
Epoch 4, Batch 4,	Train Loss: 0.3445149589987362
Epoch 4, Batch 5,	Train Loss: 0.3446676871355842
Epoch 4, Batch 6,	Train Loss: 0.34448884515201345
Epoch 4, Batch 7,	Train Loss: 0.34466779933256264
Epoch 4, Batch 8,	Train Loss: 0.34464356478522806
Epoch 4, Batch 9,	Train Loss: 0.34463994643267465
Epoch 4, Batch 10,	Train Loss: 0.3445145943585564
Epoch 4, Batch 11,	Train Loss: 0.3444463785956888
Epoch 4, Batch 12,	Train Loss: 0.3444822255302878
Epoch 4, Batch 13,	Train Loss: 0.3445737782646628
Epoch 4, Batch 14,	Train Loss: 0.34451978346880746
Epoch 4, Batch 15,	Train Loss: 0.34458160400390625
Epoch 4, Batch 16,	Train Loss: 0.344571029438692
Epoch 4, Batch 17,	Train Loss: 0.3445572853088379
Epoch 4, Batch 18,	Train Loss: 0.34439925586476045
Epoch 4, Batch 19,	Train Loss: 0.3445344812729779
Epoch 4, Batch 20,	Train Loss: 0.3447021035587086
Epoch 4, Batch 21,	Train Loss: 0.3447456640355727
Epoch 4, Batch 22,	Train Loss: 0.34458597968606386
Epoch 4, Batch 23,	Train Loss: 0.3448007247027229
Epoch 4, Batch 24,	Train Loss: 0.34462468764361215
Epoch 4, Batch 25,	Train Loss: 0.34463829152724323
Epoch 4, Batch 26,	Train Loss: 0.34455175960765166
Epoch 4, Batch 27,	Train Loss: 0.34452155057121725
Epoch 4, Batch 28,	Train Loss: 0.3445352386025822
Epoch 4, Batch 29,	Train Loss: 0.34453843621646657
Epoch 4, Batch 30,	Train Loss: 0.3444535592023064
Epoch 4, Batch 31,	Train Loss: 0.3447365199818331
Epoch 4, Batch 32,	Train Loss: 0.34453537884880514
Epoch 4, Batch 33,	Train Loss: 0.3445396423339844
Epoch 4, Batch 34,	Train Loss: 0.2476523062762092
Epoch 4 Train Loss: 11.61866813547471
Epoch 4 Test Accuracy: 0.3445378151260504
Starting epoch number 4
Epoch 5, Batch 1,	Train Loss: 0.3445599780363195
Epoch 5, Batch 2,	Train Loss: 0.3444359442766975
Epoch 5, Batch 3,	Train Loss: 0.344515323638916
Epoch 5, Batch 4,	Train Loss: 0.34465307347914753
Epoch 5, Batch 5,	Train Loss: 0.34466011383954215
Epoch 5, Batch 6,	Train Loss: 0.3444550458122702
Epoch 5, Batch 7,	Train Loss: 0.3444502493914436
Epoch 5, Batch 8,	Train Loss: 0.3445426436031566
Epoch 5, Batch 9,	Train Loss: 0.34456749523387237
Epoch 5, Batch 10,	Train Loss: 0.3445322653826545
Epoch 5, Batch 11,	Train Loss: 0.34455739750581627
Epoch 5, Batch 12,	Train Loss: 0.3445047210244572
Epoch 5, Batch 13,	Train Loss: 0.3445137248319738
Epoch 5, Batch 14,	Train Loss: 0.3444524933310116
Epoch 5, Batch 15,	Train Loss: 0.3446159362792969
Epoch 5, Batch 16,	Train Loss: 0.34441625370698814
Epoch 5, Batch 17,	Train Loss: 0.3444519323461196
Epoch 5, Batch 18,	Train Loss: 0.34442932465497184
Epoch 5, Batch 19,	Train Loss: 0.3445237945107853
